TimeStamp,Name,EID,Resource,tx_pkts,rx_pkts,tx_bytes,rx_bytes,tx_errors,rx_errors,tx_dropped,rx_dropped_pkts,rx_multicast,rx_collisions,rx_length,rx_overrun,rx_crc,rx_frame,rx_fifo,rx_missed,tx_aborted,tx_carrier,tx_fifo,tx_heartbeat,tx_window,rx_signal,link_speed,rx_link_speed,frequency,channel,wifi_mode,portal_login_ok,portal_login_fail,portal_logout_ok,portal_logout_fail,dhcp_neg_ms,conn_count,last_conn_ms,connect_duration_us,disconn_duration_us,anqp_duration_us,4way_duration_us,phantom,down,IP,sec-ip-count,parent,pps-rx,bps-rx,pps-tx,bps-tx,bps-ll-tx,bytes-ll-tx,bps-ll-rx,bytes-ll-rx,reset-state,wifi-state,AP,wifi-link,wifi-noise,wifi-rxcrypt-failures,wifi-retry-failure,wifi-tx-fail-prcnt,wifi-misc-failure,beacon-miss,ssid,passwd,device-name,qlen,mtu,mask,gateway,mac,ipv6,ipv6-gw,port_type,BEACON_RX_SIGNAL,PORT_SUPPORTED_FLAGS_L,PORT_SUPPORTED_FLAGS_H,PORT_CUR_FLAGS_L,PORT_CUR_FLAGS_H
1645094993422,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645094995765,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645094998125,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095000546,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095002958,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095005301,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095007735,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095010165,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095012506,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095014852,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095017273,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095019653,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095022039,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095024444,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095026884,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095029228,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095031632,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095034073,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095036419,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095038859,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095041263,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095043615,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095046076,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095048516,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095050958,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095053401,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095055841,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095058245,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095060648,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095062997,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095065340,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095067759,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095070161,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095072542,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095074888,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
1645095077312,wiphy1,1.1.5,ct523c-3011,223844335,59209090,145349925237,153178467862,0,0,0,0,0,0,0,0,575526,0,0,0,0,0,883,0,0,0,0,360000,-1,-1,AUTO,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,0,0,0,0,145349925237,0,153178467862,Complete,NA,NONE,0.0,0,0,39215,0.01751887,2,0,[BLANK],[BLANK],wiphy1,0,1500,0.0.0.0,0.0.0.0,04:f0:21:9f:5d:69,DELETED,DELETED,WIFI-Radio,0,20000000,0,0,0
